Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Zeros,0.4,extremal_mask,1.0,1.0,0.965,0.09255,0.2714,-0.1834,-0.05517
42,2,Zeros,0.5,extremal_mask,1.0,1.0,0.9678,0.09191,0.2718,-0.1837,-0.05266
42,2,Zeros,0.6,extremal_mask,1.0,1.0,0.9696,0.07246,0.2376,-0.1495,-0.04721
42,2,Average,0.1,integrated_gradients,1.0,1.0,0.9904,0.001056,0.09067,-0.00259,0.001794
42,2,Average,0.2,integrated_gradients,1.0,1.0,0.9878,0.0007439,0.09156,-0.003487,0.002232
42,2,Average,0.3,integrated_gradients,1.0,1.0,0.9861,0.0009983,0.09288,-0.004807,0.002359
42,2,Average,0.4,integrated_gradients,1.0,1.0,0.9867,0.001024,0.09327,-0.005189,0.002353
42,2,Average,0.5,integrated_gradients,1.0,1.0,0.9848,0.001267,0.09389,-0.005812,0.002145
42,2,Average,0.6,integrated_gradients,1.0,1.0,0.9835,0.001845,0.09506,-0.006983,0.001626
42,2,Zeros,0.1,integrated_gradients,1.0,1.0,0.9787,0.007774,0.1083,-0.02025,-0.005867
42,2,Zeros,0.2,integrated_gradients,1.0,1.0,0.9774,-0.0007907,0.1092,-0.02115,-0.002452
42,2,Zeros,0.3,integrated_gradients,1.0,1.0,0.9763,-0.00532,0.1105,-0.02247,-0.0004145
42,2,Zeros,0.4,integrated_gradients,1.0,1.0,0.9761,-0.006272,0.1133,-0.02524,-0.001407
42,2,Zeros,0.5,integrated_gradients,1.0,1.0,0.9761,-0.005375,0.1179,-0.02982,-0.002673
42,2,Zeros,0.6,integrated_gradients,1.0,1.0,0.9761,-0.00523,0.1205,-0.03242,-0.00256
42,2,Average,0.1,augmented_occlusion,1.0,1.0,0.9893,0.0004236,0.09054,-0.002459,0.002917
42,2,Average,0.2,augmented_occlusion,1.0,1.0,0.9878,0.0005811,0.09137,-0.003294,0.002576
42,2,Average,0.3,augmented_occlusion,1.0,1.0,0.9861,0.001392,0.09294,-0.004868,0.001945
42,2,Average,0.4,augmented_occlusion,1.0,1.0,0.9859,0.002145,0.09448,-0.0064,0.00123
42,2,Average,0.5,augmented_occlusion,1.0,1.0,0.9852,0.0028,0.09585,-0.007777,0.0006887
42,2,Average,0.6,augmented_occlusion,1.0,1.0,0.9848,0.00307,0.0965,-0.00842,0.0005666
42,2,Zeros,0.1,augmented_occlusion,1.0,1.0,0.9772,0.007645,0.11,-0.02197,-0.002854
42,2,Zeros,0.2,augmented_occlusion,1.0,1.0,0.9767,0.0002088,0.1083,-0.02023,-0.0005253
42,2,Zeros,0.3,augmented_occlusion,1.0,1.0,0.9756,-0.002614,0.1112,-0.02315,0.0002074
42,2,Zeros,0.4,augmented_occlusion,1.0,1.0,0.9759,-0.004741,0.1124,-0.02433,3.743e-05
42,2,Zeros,0.5,augmented_occlusion,1.0,1.0,0.9761,-0.006132,0.1144,-0.02629,-4.817e-05
42,2,Zeros,0.6,augmented_occlusion,1.0,1.0,0.9761,-0.007132,0.1154,-0.02736,0.0004739
42,2,Average,0.1,occlusion,1.0,1.0,0.9898,-0.001389,0.08853,-0.0004531,0.004982
42,2,Average,0.2,occlusion,1.0,1.0,0.9883,-0.001431,0.08931,-0.001237,0.004945
42,2,Average,0.3,occlusion,1.0,1.0,0.9872,-0.001229,0.09008,-0.002,0.0047
42,2,Average,0.4,occlusion,1.0,1.0,0.9867,-0.0004193,0.09153,-0.003449,0.004002
42,2,Average,0.5,occlusion,1.0,1.0,0.9861,0.0003772,0.09306,-0.004985,0.003165
